iter	Passed	Remaining
398	2215	3337
399	2221	3332
400	2223	3320
401	2225	3310
402	2227	3299
403	2229	3288
404	2230	3276
405	2234	3268
406	2235	3256
407	2236	3245
408	2237	3233
409	2239	3222
410	2240	3210
411	2241	3199
412	2243	3188
413	2244	3176
414	2245	3165
415	2246	3153
416	2248	3144
417	2250	3133
418	2251	3122
419	2252	3110
420	2254	3100
421	2256	3089
422	2257	3079
423	2259	3069
424	2260	3058
425	2262	3048
426	2264	3038
427	2265	3028
428	2267	3017
429	2268	3007
430	2270	2996
431	2271	2986
432	2272	2975
433	2274	2965
434	2277	2957
435	2278	2947
436	2279	2936
437	2281	2926
438	2282	2916
439	2283	2906
440	2284	2896
441	2286	2886
442	2287	2876
443	2288	2866
444	2291	2858
445	2292	2848
446	2294	2838
447	2295	2828
448	2296	2818
449	2298	2808
450	2299	2799
451	2301	2790
452	2303	2781
453	2307	2774
454	2309	2766
455	2312	2758
456	2313	2749
457	2315	2739
458	2316	2730
459	2317	2720
460	2319	2711
461	2322	2704
462	2323	2695
463	2325	2686
464	2326	2677
465	2328	2667
466	2329	2658
467	2331	2650
468	2333	2641
469	2336	2634
470	2337	2625
471	2338	2616
472	2340	2607
473	2341	2598
474	2343	2590
475	2344	2581
476	2346	2572
477	2347	2564
478	2349	2555
479	2352	2548
480	2353	2539
481	2354	2530
482	2356	2522
483	2357	2513
484	2359	2505
485	2361	2497
486	2363	2489
487	2366	2482
488	2367	2474
489	2369	2466
490	2370	2457
491	2371	2449
492	2373	2440
493	2375	2432
494	2376	2424
495	2381	2420
496	2383	2412
497	2385	2404
498	2386	2396
499	2388	2388
500	2389	2380
501	2390	2371
502	2392	2363
503	2393	2355
504	2396	2349
505	2398	2341
506	2400	2333
507	2407	2332
508	2409	2324
509	2411	2316
510	2412	2308
511	2413	2300
512	2415	2293
513	2417	2285
514	2418	2277
515	2419	2269
516	2421	2262
517	2423	2255
518	2424	2247
519	2428	2241
520	2429	2233
521	2430	2225
522	2431	2218
523	2433	2210
524	2435	2203
525	2436	2195
526	2438	2188
527	2439	2180
528	2443	2175
529	2444	2168
530	2446	2160
531	2448	2153
532	2450	2146
533	2451	2139
534	2453	2132
535	2455	2125
536	2456	2118
537	2458	2111
538	2460	2104
539	2461	2097
540	2463	2090
541	2465	2083
542	2466	2076
543	2471	2072
544	2473	2064
545	2474	2057
546	2476	2050
547	2477	2043
548	2478	2036
549	2480	2029
550	2481	2022
551	2482	2015
552	2485	2009
553	2487	2002
554	2488	1995
555	2490	1988
556	2492	1982
557	2493	1975
558	2494	1968
559	2496	1961
560	2497	1954
561	2498	1947
562	2500	1941
563	2502	1934
564	2503	1927
565	2504	1920
566	2506	1914
567	2507	1907
568	2508	1900
569	2510	1893
570	2511	1887
571	2512	1880
572	2516	1875
573	2517	1868
574	2518	1861
575	2519	1854
576	2521	1848
577	2522	1841
578	2523	1835
579	2525	1828
580	2526	1821
581	2527	1815
582	2530	1810
583	2531	1803
584	2533	1797
585	2534	1790
586	2535	1784
587	2536	1777
588	2538	1771
589	2539	1764
590	2541	1758
591	2542	1752
592	2545	1746
593	2546	1740
594	2547	1734
595	2549	1727
596	2550	1721
597	2551	1715
598	2552	1709
599	2554	1702
600	2555	1696
601	2556	1690
602	2560	1685
603	2561	1679
604	2562	1673
605	2563	1667
606	2565	1660
607	2566	1654
608	2567	1648
609	2569	1642
610	2570	1636
611	2571	1630
612	2572	1624
613	2575	1619
614	2577	1613
615	2578	1607
616	2580	1601
617	2581	1595
618	2582	1589
619	2584	1583
620	2585	1577
621	2586	1571
622	2589	1566
623	2590	1561
624	2592	1555
625	2594	1550
626	2596	1544
627	2597	1538
628	2598	1532
629	2599	1526
630	2601	1521
631	2604	1516
632	2605	1510
633	2607	1505
634	2609	1499
635	2610	1494
636	2612	1488
637	2613	1483
638	2615	1477
639	2616	1471
640	2619	1467
641	2621	1461
642	2623	1456
643	2624	1450
644	2625	1445
645	2628	1440
646	2629	1434
647	2630	1428
648	2631	1423
649	2635	1419
650	2637	1413
651	2639	1408
652	2641	1403
653	2642	1398
654	2643	1392
655	2645	1387
656	2646	1381
657	2649	1377
658	2651	1372
659	2653	1366
660	2655	1361
661	2656	1356
662	2658	1351
663	2659	1345
664	2661	1340
665	2663	1335
666	2666	1331
667	2667	1325
668	2668	1320
669	2670	1315
670	2671	1309
671	2672	1304
672	2674	1299
673	2675	1294
674	2676	1288
675	2680	1284
676	2682	1279
677	2683	1274
678	2684	1269
679	2686	1264
680	2687	1258
681	2688	1253
682	2689	1248
683	2691	1243
684	2695	1239
685	2696	1234
686	2698	1229
687	2699	1224
688	2700	1219
689	2702	1213
690	2703	1208
691	2704	1203
692	2705	1198
693	2708	1194
694	2710	1189
695	2711	1184
696	2712	1179
697	2714	1174
698	2715	1169
699	2717	1164
700	2718	1159
701	2719	1154
702	2720	1149
703	2722	1144
704	2725	1140
705	2726	1135
706	2727	1130
707	2729	1125
708	2730	1120
709	2731	1115
710	2732	1110
711	2733	1105
712	2734	1100
713	2736	1095
714	2739	1092
715	2741	1087
716	2742	1082
717	2744	1077
718	2745	1072
719	2746	1068
720	2747	1063
721	2748	1058
722	2749	1053
723	2751	1048
724	2754	1044
725	2755	1040
726	2756	1035
727	2758	1030
728	2759	1025
729	2760	1021
730	2762	1016
731	2763	1011
732	2764	1006
733	2765	1002
734	2766	997
735	2769	993
736	2771	988
737	2772	984
738	2773	979
739	2775	975
740	2776	970
741	2777	965
742	2778	961
743	2779	956
744	2780	951
745	2783	947
746	2785	943
747	2786	938
748	2787	934
749	2788	929
750	2789	925
751	2790	920
752	2791	915
753	2792	911
754	2794	906
755	2795	902
756	2797	897
757	2799	893
758	2800	889
759	2802	885
760	2803	880
761	2804	876
762	2806	871
763	2807	867
764	2809	862
765	2810	858
766	2814	854
767	2815	850
768	2816	846
769	2817	841
770	2819	837
771	2820	832
772	2821	828
773	2822	824
774	2823	819
775	2824	815
776	2825	810
777	2828	807
778	2829	802
779	2830	798
780	2832	794
781	2833	789
782	2834	785
783	2835	781
784	2836	776
785	2837	772
786	2838	768
787	2839	763
788	2842	760
789	2844	756
790	2845	751
791	2847	747
792	2848	743
793	2849	739
794	2850	735
795	2851	730
796	2853	726
797	2854	722
798	2857	718
799	2858	714
800	2860	710
801	2861	706
802	2862	702
803	2864	698
804	2865	694
805	2866	689
806	2867	685
807	2868	681
808	2869	677
809	2873	673
810	2875	670
811	2876	666
812	2878	661
813	2879	657
814	2880	653
815	2881	649
816	2883	645
817	2887	642
818	2889	638
819	2890	634
820	2891	630
821	2893	626
822	2894	622
823	2895	618
824	2896	614
825	2897	610
826	2898	606
827	2901	602
828	2903	598
829	2904	594
830	2905	590
831	2907	587
832	2908	583
833	2909	579
834	2910	575
835	2911	571
836	2912	567
837	2913	563
838	2916	559
839	2917	555
840	2919	551
841	2920	548
842	2921	544
843	2922	540
844	2923	536
845	2924	532
846	2925	528
847	2926	524
848	2927	520
849	2931	517
850	2932	513
851	2934	509
852	2935	505
853	2936	502
854	2937	498
855	2938	494
856	2939	490
857	2940	486
858	2941	482
859	2942	479
860	2947	475
861	2948	471
862	2949	468
863	2950	464
864	2952	460
865	2953	457
866	2954	453
867	2955	449
868	2956	445
869	2957	441
870	2961	438
871	2962	434
872	2963	431
873	2965	427
874	2966	423
875	2967	420
876	2968	416
877	2969	412
878	2970	408
879	2971	405
880	2972	401
881	2973	397
882	2976	394
883	2977	390
884	2979	387
885	2980	383
886	2981	379
887	2982	376
888	2983	372
889	2985	368
890	2986	365
891	2987	361
892	2990	358
893	2992	354
894	2993	351
895	2994	347
896	2995	344
897	2996	340
898	2997	336
899	2999	333
900	3000	329
901	3001	326
902	3002	322
903	3005	319
904	3006	315
905	3008	312
906	3009	308
907	3010	305
908	3011	301
909	3013	298
910	3014	294
911	3015	290
912	3016	287
913	3017	283
914	3020	280
915	3022	277
916	3023	273
917	3026	270
918	3027	266
919	3028	263
920	3029	259
921	3030	256
922	3031	252
923	3033	249
924	3036	246
925	3041	243
926	3043	239
927	3044	236
928	3045	232
929	3046	229
930	3047	225
931	3050	222
932	3056	219
933	3057	216
934	3058	212
935	3060	209
936	3061	205
937	3062	202
938	3063	199
939	3067	195
940	3068	192
941	3069	189
942	3071	185
943	3072	182
944	3073	178
945	3075	175
946	3076	172
947	3077	168
948	3078	165
949	3082	162
950	3083	158
951	3085	155
952	3086	152
953	3087	148
954	3088	145
955	3089	142
956	3090	138
957	3091	135
958	3093	132
959	3096	129
960	3097	125
961	3098	122
962	3099	119
963	3101	115
964	3102	112
965	3103	109
966	3104	105
967	3105	102
968	3106	99
969	3108	96
970	3112	92
971	3113	89
972	3115	86
973	3117	83
974	3118	79
975	3119	76
976	3120	73
977	3121	70
978	3122	66
979	3123	63
980	3128	60
981	3129	57
982	3132	54
983	3134	50
984	3135	47
985	3136	44
986	3140	41
987	3143	38
988	3145	34
989	3147	31
990	3149	28
991	3150	25
992	3152	22
993	3157	19
994	3159	15
995	3160	12
996	3161	9
997	3162	6
998	3164	3
999	3169	0
